Keyword,SERP Position,Link,Performance Score,First Contentful Paint,Speed Index,Time To Interactive,SEO Score
python programming,9,https://www.dataquest.io/course/introduction-to-python/,0.99,1,1,1,1
python programming,3,https://www.w3schools.com/python/python_intro.asp,1,1,1,0.99,0.82
python programming,1,https://www.python.org/about/gettingstarted/,0.6,0.93,0.66,0.55,1
python programming,7,https://generalassemb.ly/education/python-programming,0.85,0.74,0.59,0.96,0.92
python programming,6,https://www.udemy.com/course/python-the-complete-python-developer-course/,0.7,1,0.67,0.81,0.83
python programming,8,https://www.udacity.com/course/introduction-to-python--ud1110,0.53,0.99,0.75,0.4,0.83
python programming,4,https://en.wikipedia.org/wiki/Python_(programming_language),1,1,0.99,1,0.67
python programming,10,https://codewithmosh.com/p/python-programming-course-beginners,0.35,0.03,0.15,0.19,0.75
python programming,11,https://brainstation.io/course/online/python-programming,0.89,0.96,0.47,0.94,1
python programming,2,https://www.programiz.com/python-programming,0.64,1,0.08,0.22,0.83
machine learning,3,https://ia-data-analytics.fr/machine-learning/,0.71,0.99,0.51,1,0.92
machine learning,2,https://fr.wikipedia.org/wiki/Apprentissage_automatique,1,1,0.98,1,0.83
machine learning,5,https://www.lebigdata.fr/machine-learning-et-big-data,0.99,1,0.97,1,0.82
machine learning,4,https://www.oracle.com/fr/artificial-intelligence/machine-learning/what-is-machine-learning/,0.77,0.99,0.72,0.88,0.92
machine learning,6,https://www.sap.com/france/insights/what-is-machine-learning.html,0.5,0.18,0.04,0.26,0.92
machine learning,7,https://www.talend.com/fr/resources/what-is-machine-learning/,0.59,0.98,0.97,0.72,1
python programming,5,https://www.youtube.com/watch?v=eWRfhZUzrAc,0.31,0.61,0.03,0.12,0.75
machine learning,10,https://solutions.lesechos.fr/tech/c/3-minutes-pour-comprendre-la-difference-entre-deep-learning-et-machine-learning-37147/,0.93,0.96,0.65,0.97,0.75
machine learning,9,https://aws.amazon.com/fr/what-is/machine-learning/,0.8,0.66,0.88,0.82,0.83
machine learning,1,https://www.energy.gov/science/doe-explainsmachine-learning,0.78,0.99,0.78,0.99,0.92
machine learning,2,https://machinelearningmastery.com/start-here/,0.96,1,1,0.99,0.92
machine learning,13,https://www.netapp.com/fr/artificial-intelligence/what-is-machine-learning/,0.87,1,0.98,0.85,0.92
machine learning,12,https://www.ovhcloud.com/fr/public-cloud/machine-learning-definition/,0.99,1,0.96,1,0.83
machine learning,1,https://datascientest.com/machine-learning-tout-savoir,0.35,0.79,0,0,1
machine learning,11,https://cloud.google.com/products/ai?hl=fr,0.81,0.83,0.87,0.83,0.92
machine learning,8,https://www.journaldunet.fr/web-tech/guide-de-l-intelligence-artificielle/1501881-machine-learning/,0.46,0.91,0.09,0.05,0.83
machine learning,5,https://www.mygreatlearning.com/blog/what-is-machine-learning/,0.99,0.99,0.97,1,0.83
machine learning,4,https://www.gartner.com/en/information-technology/glossary/machine-learning,0.58,0.99,0.64,0.24,0.92
machine learning,13,https://www.w3schools.com/python/python_ml_getting_started.asp,1,1,1,0.99,0.82
machine learning,9,https://www.zendesk.com/blog/machine-learning-and-deep-learning/,0.83,0.9,0.68,0.61,1
machine learning,11,https://builtin.com/machine-learning,0.91,0.91,0.95,0.83,0.75
machine learning,7,https://www.microfocus.com/en-us/what-is/machine-learning,0.53,0.89,0.24,0.29,0.75
machine learning,12,https://www.udacity.com/course/machine-learning--ud262,0.54,0.99,0.67,0.4,0.83
machine learning,6,https://aws.amazon.com/machine-learning/,0.5,0.66,0.43,0.36,0.75
machine learning,3,https://www.youtube.com/watch?v=ukzFI9rgwfU,0.56,0.94,0.06,0.19,0.75
data visualization,1,https://www.tableau.com/learn/articles/data-visualization,0.74,0.99,0.97,0.7,0.92
data visualization,2,https://www.salesforce.com/fr/resources/articles/definition-data-visualisation/,0.45,0.29,0.08,0.2,0.92
machine learning,10,https://www.wired.com/tag/machine-learning/,0.33,0.96,0,0.05,0.92
data visualization,5,https://www.toucantoco.com/blog/definition-data-visualisation-dataviz,0.5,0.96,0.42,0.48,0.92
data visualization,4,https://fr.wikipedia.org/wiki/Visualisation_de_donn%C3%A9es,0.97,0.98,0.97,1,0.75
data visualization,6,https://datavizcatalogue.com/,0.92,0.96,0.6,0.62,0.91
data visualization,10,https://www.oracle.com/fr/database/data-visualization-definition.html,0.9,0.99,0.85,0.93,0.92
data visualization,7,https://visme.co/blog/best-data-visualizations/,0.98,0.99,0.98,0.98,0.83
data visualization,9,https://www.kaggle.com/learn/data-visualization,0.53,0.89,0.52,0.83,0.8
data visualization,3,https://www.techtarget.com/searchbusinessanalytics/definition/data-visualization,0.61,1,0.06,0.34,0.83
data visualization,11,https://www.sisense.com/blog/10-useful-ways-visualize-data-examples/,0.7,0.99,0.42,0.42,0.75
data visualization,9,https://www.kaggle.com/learn/data-visualization,0.53,0.89,0.52,0.83,0.8
data visualization,1,https://clauswilke.com/dataviz/,0.47,1,0.95,0.95,1
data visualization,6,https://www.linkedin.com/learning/topics/data-visualization,0.98,0.99,0.95,1,0.92
data visualization,12,https://www.tibco.com/reference-center/guide-to-data-visualization,0.82,0.97,0.82,0.72,0.83
data visualization,2,https://www.coursera.org/articles/data-visualization,0.69,0.97,0.95,0.48,0.83
data visualization,11,https://www.fiverr.com/categories/data/data-visualization,0.6,0.97,0.47,0.46,0.92
data visualization,13,https://www.fiverr.com/categories/data/data-visualization,0.6,0.97,0.47,0.46,0.92
