keyword,link,position
python programming,https://www.python.org/about/gettingstarted/,1
python programming,https://www.programiz.com/python-programming,2
python programming,https://www.w3schools.com/python/python_intro.asp,3
python programming,https://en.wikipedia.org/wiki/Python_(programming_language),4
python programming,https://www.udemy.com/course/python-programming-beginner-to-advanced/,5
python programming,https://www.youtube.com/watch?v=eWRfhZUzrAc,6
python programming,https://www.edx.org/course/programming-for-everybody-getting-started-with-pyt,7
python programming,https://generalassemb.ly/education/python-programming,8
web developing,https://developer.mozilla.org/fr/docs/Learn,1
web developing,https://www.digital-campus.fr/glossaire-du-web/definition-developpement-web,2
web developing,https://fr.wikipedia.org/wiki/Programmation_web,3
web developing,https://blog.hubspot.com/website/website-development,4
web developing,https://www.w3schools.com/whatis/,5
web developing,https://www.ironhack.com/fr/en/web-development/paris,6
web developing,https://openclassrooms.com/fr/paths/717-developpeur-web,7
web developing,https://www.lewagon.com/fr/web-development-course,8
web developing,https://www.lighthouselabs.ca/en/web-development,9
