"Keyword"	"SERP features"	"Volume"	"KD"	"CPC"	"Previous organic traffic"	"Current organic traffic"	"Organic traffic change"	"Current paid traffic"	"Previous position"	"Current position"	"Position change"	"Previous URL inside"	"Previous URL"	"Current URL inside"	"Current URL"	"Previous date"	"Current date"
"keto fast food"	"Sitelinks, People also ask, Video preview, Top stories, Thumbnail"	"14000"	"40"	"1.22"	"69"	"2442"	"2373"	"0"	"18" "2"	"16"	""	"https://perfectketo.com/keto-fast-food/"	""	"https://perfectketo.com/keto-fast-food/"	"2023-03-01 22:47:46"	"2023-05-01 07:57:08"
"keto macro calculator"	"People also ask"	"9000"	"55"	"0.88"	"2204"	"2202"	"-1"	"0"	"2"	"2"	""	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-28 19:05:30"	"2023-05-01 17:46:03"
"keto cereal"	"People also ask, Shopping results, Thumbnail, Top stories"	"16000"	"34"	"0.51"	"4933"	"1437"	"-3496"	"0"	"1"	"3"	"-2"	""	"https://perfectketo.com/best-keto-cereal/"	""	"https://perfectketo.com/best-keto-cereal/"	"2023-02-28 12:09:46"	"2023-04-30 13:03:30"
"keto calculator"	"Sitelinks, People also ask"	"8500"	"68"	"1.64"	"941"	"1176"	"235"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-28 04:35:37"	"2023-05-01 00:48:04"
"high fat low carb foods"	"Featured snippet, Thumbnail, People also ask, Top stories, Sitelinks, Videos"	"4900"	"38"	"0.79"	"408"	"610"	"201"	"0"	"4"	"3"	"1"	""	"https://perfectketo.com/high-fat-low-carb-foods/"	""	"https://perfectketo.com/high-fat-low-carb-foods/"	"2023-02-28 03:18:53"	"2023-05-01 04:31:03"
"is canola oil bad for you"	"Featured snippet, Thumbnail, People also ask, Video preview, Sitelinks, Top stories"	"17000"	"66"	"0.41"	"942"	"603"	"-339"	"0"	"6"	"8"	"-2"	""	"https://perfectketo.com/canola-oil/"	""	"https://perfectketo.com/canola-oil/"	"2023-03-01 11:54:52"	"2023-05-01 22:42:03"
"7-day keto meal plan pdf"	"People also ask, Sitelinks, Video preview"	"1300"	"4"	""	"488"	"488"	"0"	"0"	"1"	"1"	""	""	"https://www.perfectketo.com/wp-content/uploads/2018/03/01_7-Day-Keto-Meal-Plan-Under-1600-Daily-Calories.pdf"	""	"https://www.perfectketo.com/wp-content/uploads/2018/03/01_7-Day-Keto-Meal-Plan-Under-1600-Daily-Calories.pdf"	"2023-03-01 19:35:25"	"2023-04-29 16:46:48"
"dry fasting"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Videos, Video preview"	"5200"	"14"	"1.21"	"372"	"465"	"93"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/dry-fasting/"	""	"https://perfectketo.com/dry-fasting/"	"2023-03-01 15:56:17"	"2023-05-01 20:48:39"
"keto food list for beginners"	"People also ask, Sitelinks, Top stories, Thumbnail"	"7100"	"50"	""	"10"	"447"	"437"	"0"	"24"	"7"	"17"	""	"https://perfectketo.com/ketogenic-diet-grocery-list/"	""	"https://perfectketo.com/ketogenic-diet-grocery-list/"	"2023-02-28 14:45:29"	"2023-04-30 13:57:54"
"why safflower oil is bad for you"	"Featured snippet, Thumbnail, People also ask, Sitelinks, Top stories"	"1200"	"39"	""	"426"	"426"	"0"	"0"	"1"	"1"	""	"Featured snippet"	"https://perfectketo.com/safflower-oil/"	"Featured snippet"	"https://perfectketo.com/safflower-oil/"	"2023-02-15 05:54:06"	"2023-04-28 10:57:15"
"ketones drink"	"Shopping results, Thumbnail, People also ask, Video preview, Top stories"	"13000"	"29"	"0.86"	"437"	"349"	"-87"	"0"	"5"	"6"	"-1"	""	"https://perfectketo.com/ketone-drinks/"	""	"https://perfectketo.com/ketone-drinks/"	"2023-02-28 18:36:56"	"2023-05-01 18:27:25"
"ceylon cinnamon benefits"	"Featured snippet, Thumbnail, People also ask, Top stories"	"7600"	"69"	""	"15"	"293"	"278"	"0"	"8"	"8"	""	""	"https://perfectketo.com/ceylon-cinnamon-benefits/"	""	"https://perfectketo.com/ceylon-cinnamon-benefits/"	"2023-03-01 11:51:52"	"2023-05-02 01:10:47"
"modified keto diet"	"People also ask, Sitelinks"	"700"	"8"	"1.38"	"294"	"292"	"-2"	"0"	"1"	"1"	""	""	"https://perfectketo.com/modified-keto-diet/"	""	"https://perfectketo.com/modified-keto-diet/"	"2023-02-27 19:01:53"	"2023-05-02 06:14:48"
"fast mimicking diet"	"People also ask"	"3800"	"31"	"2.69"	"145"	"284"	"138"	"0"	"10"	"7"	"3"	""	"https://perfectketo.com/fasting-mimicking-diet/"	""	"https://perfectketo.com/fasting-mimicking-diet/"	"2023-02-26 10:58:02"	"2023-05-01 13:35:17"
"keto carb calculator"	"People also ask, Sitelinks"	"2600"	"57"	"1.54"	"153"	"264"	"111"	"0"	"5"	"4"	"1"	""	"https://perfectketo.com/keto-macro-calculator/"	""	"https://perfectketo.com/keto-macro-calculator/"	"2023-02-23 01:23:08"	"2023-04-29 16:38:58"
